,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
WNT5A_FZD1,WNT5A_FZD1,ncWNT,wnt5a,fzd1,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd1"
WNT5A_FZD10,WNT5A_FZD10,ncWNT,wnt5a,fzd10,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd10"
WNT5A_FZD2,WNT5A_FZD2,ncWNT,wnt5a,fzd2,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd2"
WNT5A_FZD3_1,WNT5A_FZD3_1,ncWNT,wnt5a,fzd3b,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd3b"
WNT5A_FZD3_2,WNT5A_FZD3_2,ncWNT,wnt5a,fzd3a,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd3a"
WNT5A_FZD4,WNT5A_FZD4,ncWNT,wnt5a,fzd4,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd4"
WNT5A_FZD5,WNT5A_FZD5,ncWNT,wnt5a,fzd5,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd5"
WNT5A_FZD6,WNT5A_FZD6,ncWNT,wnt5a,fzd6,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd6"
WNT5A_FZD7_1,WNT5A_FZD7_1,ncWNT,wnt5a,fzd7b,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd7b"
WNT5A_FZD7_2,WNT5A_FZD7_2,ncWNT,wnt5a,fzd7a,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd7a"
WNT5A_FZD8_1,WNT5A_FZD8_1,ncWNT,wnt5a,fzd8a,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd8a"
WNT5A_FZD8_2,WNT5A_FZD8_2,ncWNT,wnt5a,fzd8b,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd8b"
WNT5A_FZD9_1,WNT5A_FZD9_1,ncWNT,wnt5a,fzd9b,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd9b"
WNT5A_FZD9_2,WNT5A_FZD9_2,ncWNT,wnt5a,fzd9a,,,"ncWNT activation receptor",,"KEGG: mmu04310","Secreted Signaling","wnt5a - fzd9a"
WNT5A_MCAM_1,WNT5A_MCAM_1,ncWNT,wnt5a,mcamb,,,,,"PMID: 24335906","Secreted Signaling","wnt5a - mcamb"
